Report_Month,Community_ID,Unit_Type,Applications_Completed,Applications_Partially_Completed,Applications_Completed_Cancelled,Applications_Denied,Applications_Approved,Applications_Approved_Cancelled,Lease_Conversions_Completed,Lease_Conversions_Cancelled,Lease_Conversions_Approved,Source_File_Name,Source_Sheet
2026-04-01,GKP,Unit Type,Completed,Partially Completed,Completed (Cancelled),Denied,Approved,Approved (Cancelled),Completed,Completed (Cancelled),Approved,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A1C,3,0,0,0,3,0,2,0,3,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A2G,3,0,0,0,2,1,1,0,1,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A3F,2,0,0,0,2,0,2,0,2,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,B1A,1,0,0,1,0,1,1,0,1,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,B3A,2,0,0,0,1,0,1,0,2,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,H2F,1,0,0,0,1,1,1,0,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,NOC,Unit Type,Completed,Partially Completed,Completed (Cancelled),Denied,Approved,Approved (Cancelled),Completed,Completed (Cancelled),Approved,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,A1-A,1,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,A2-B,1,0,0,0,1,0,1,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,A3-B,1,0,0,0,1,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B1-C,0,0,0,0,0,0,3,0,3,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B3-F,2,0,0,0,1,1,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B3-G,1,0,0,0,1,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,BAR,Unit Type,Completed,Partially Completed,Completed (Cancelled),Denied,Approved,Approved (Cancelled),Completed,Completed (Cancelled),Approved,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A1,6,0,0,3,4,0,2,0,2,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A2,1,0,0,0,1,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A3,1,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A4,1,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A5,2,0,0,0,1,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B1,2,0,0,0,3,0,2,0,2,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B2,4,0,0,2,2,0,3,0,3,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B3,4,0,0,2,2,0,2,0,2,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B6,1,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,C1,1,0,0,0,0,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,Unknown,1,0,1,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAY,Unit Type,Completed,Partially Completed,Completed (Cancelled),Denied,Approved,Approved (Cancelled),Completed,Completed (Cancelled),Approved,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,A1,9,0,1,1,7,0,8,0,8,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,A3,5,0,0,1,4,0,4,0,4,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,A4,2,0,0,0,2,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B1,14,0,0,2,9,0,7,0,7,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B1.1,3,0,0,2,1,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B2,5,0,0,0,4,0,4,0,4,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B2.1,1,0,0,0,1,0,1,0,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B2.2,2,0,0,0,1,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B3,1,0,0,1,1,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B4,12,1,1,4,4,0,3,0,3,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,C1,1,0,0,0,1,1,1,0,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,C2,1,0,0,0,1,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,CIT,Unit Type,Completed,Partially Completed,Completed (Cancelled),Denied,Approved,Approved (Cancelled),Completed,Completed (Cancelled),Approved,02 - RISE - Box Score-11.xlsx,Rise Citrus Ridge Townhomes
2026-04-01,CIT,B1,1,1,0,0,3,1,3,0,3,02 - RISE - Box Score-11.xlsx,Rise Citrus Ridge Townhomes
2026-04-01,CIT,C1,9,0,0,3,10,1,10,0,11,02 - RISE - Box Score-11.xlsx,Rise Citrus Ridge Townhomes
2026-04-01,CIT,Unknown,1,0,1,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Citrus Ridge Townhomes
2026-04-01,DOR,Unit Type,Completed,Partially Completed,Completed (Cancelled),Denied,Approved,Approved (Cancelled),Completed,Completed (Cancelled),Approved,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A1,4,0,0,1,3,0,2,0,2,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A2,1,0,0,0,1,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A2-L,2,0,1,1,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A3,1,0,0,0,1,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A5,1,0,0,0,2,0,3,0,3,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,B1,1,0,0,0,1,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,B4,1,0,0,0,1,1,1,0,2,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,B4-L,1,0,0,0,1,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,S1,3,0,0,2,2,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,S2,1,0,0,1,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,S3,1,0,0,0,1,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,S4,1,0,0,0,1,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,S5,1,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,FLO,Unit Type,Completed,Partially Completed,Completed (Cancelled),Denied,Approved,Approved (Cancelled),Completed,Completed (Cancelled),Approved,02 - RISE - Box Score-11.xlsx,Rise Florence Villa Townhomes
2026-04-01,FLO,B1,1,0,0,0,1,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Florence Villa Townhomes
2026-04-01,FLO,C1,16,1,1,3,12,1,10,2,11,02 - RISE - Box Score-11.xlsx,Rise Florence Villa Townhomes
2026-04-01,SER,Unit Type,Completed,Partially Completed,Completed (Cancelled),Denied,Approved,Approved (Cancelled),Completed,Completed (Cancelled),Approved,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,A1,10,0,0,0,7,0,7,0,7,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,A2,5,0,0,0,4,0,4,0,4,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,B1,8,0,1,2,5,0,4,1,4,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,B3,7,0,0,2,5,0,4,0,4,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,C1,0,0,0,0,1,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,S1,3,0,0,0,1,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,TB2,2,0,0,0,2,0,2,0,2,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,STA,Unit Type,Completed,Partially Completed,Completed (Cancelled),Denied,Approved,Approved (Cancelled),Completed,Completed (Cancelled),Approved,02 - RISE - Box Score-11.xlsx,Rise St. Augustine
2026-04-01,STA,C1,3,0,1,0,0,1,0,0,0,02 - RISE - Box Score-11.xlsx,Rise St. Augustine
2026-04-01,VIE,Unit Type,Completed,Partially Completed,Completed (Cancelled),Denied,Approved,Approved (Cancelled),Completed,Completed (Cancelled),Approved,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,A1,1,0,0,0,1,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,A2,1,0,0,0,1,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,A3,2,0,0,0,2,0,2,0,2,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,B1,1,0,0,0,1,0,1,0,1,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,H2A,2,0,0,0,2,0,2,0,2,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,H3B,1,0,0,0,1,0,2,0,2,02 - RISE - Box Score-11.xlsx,Rise Viera
