Report_Month,Community_ID,Status,Vacant_Rented,Vacant_Unrented,Total_Vacant,Pct_Of_Total_Vacant,Source_File_Name,Source_Sheet
2026-04-01,GKP,Ready,6,78,84,0.312267657993,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,Not Ready,10,175,185,0.687732342007,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,NOC,Ready,10,54,64,0.969696969697,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,Not Ready,1,1,2,0.030303030303,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,BAR,Ready,9,2,11,0.379310344828,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,Not Ready,8,10,18,0.620689655172,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAY,Ready,42,63,105,0.921052631579,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,Not Ready,0,9,9,0.0789473684211,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,CIT,Ready,10,36,46,0.867924528302,02 - RISE - Box Score-11.xlsx,Rise Citrus Ridge Townhomes
2026-04-01,CIT,Not Ready,3,4,7,0.132075471698,02 - RISE - Box Score-11.xlsx,Rise Citrus Ridge Townhomes
2026-04-01,DOR,Ready,11,209,220,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,Not Ready,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,FLO,Ready,11,4,15,0.394736842105,02 - RISE - Box Score-11.xlsx,Rise Florence Villa Townhomes
2026-04-01,FLO,Not Ready,8,15,23,0.605263157895,02 - RISE - Box Score-11.xlsx,Rise Florence Villa Townhomes
2026-04-01,SER,Ready,9,29,38,0.904761904762,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,Not Ready,1,3,4,0.0952380952381,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,STA,Ready,2,268,270,1,02 - RISE - Box Score-11.xlsx,Rise St. Augustine
2026-04-01,STA,Not Ready,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise St. Augustine
2026-04-01,VIE,Ready,11,50,61,0.782051282051,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,Not Ready,0,17,17,0.217948717949,02 - RISE - Box Score-11.xlsx,Rise Viera
